TaskID,Estimate_label
302U8RURJ04D3PI759V2HM1G13KNVM,disgust
302U8RURJ04D3PI759V2HM1G13KVNU,angry
304QEQWKZQNFS9H33R7QBIBVXHCO0A,fear
304QEQWKZQNFS9H33R7QBIBVXHD0ON,disgust
306996CF6XNVG4DCV564J3U6VA01BN,happy
306996CF6XNVG4DCV564J3U6VA0B1X,neutral
306W7JMRYZ1DR4XXUQFJYDHE9G68BE,angry
306W7JMRYZ1DR4XXUQFJYDHE9G6B8H,neutral
307FVKVSYSIP6R7556DQCZFDO4J74K,sad
307L9TDWJZVTRGGOLZPWYR9XAJS3N6,surprise
3087LXLJ6NJLMW4A4OO0OO2H5GM0F1,neutral
308KJXFUJS9R6EKTRAQIUYTV5B5TAS,neutral
308KJXFUJS9R6EKTRAQIUYTV5B6ATA,happy
309D674SH0OF37NAB2VO0ZDXZ7RBCN,angry
30EV7DWJTWYM0Y7KB3W5MAJOOUXY6W,neutral
30EV7DWJTWYM0Y7KB3W5MAJOOUY6Y5,disgust
30F94FBDNSNWPOPLXOQEP9D1NTQTBN,happy
30OITAWPBR6NWMJTZAVTKKFNOZT9HK,surprise
30P8I9JKOJO9D0C119ZGN51UAIL5VF,fear
30U1YOGZGBZOPLAQMKCUAU5FOVPDSQ,sad
30UZJB2POIFP1RAIHZTA4A9BJYS35G,neutral
30Y6N4AHYQZCO6AD7VCPKK0J2T6DR2,sad
30Z7M1Q8UZN88US5OCFN32X8RYL8AJ,sad
30ZKOOGW2X9QXU8KPR68OSA0DSF1AS,fear
311HQEI8RTJ59OVUQZ3G6VSMPZLZ7N,happy
31ANT7FQN954VZHHWKIC84AL23A5HP,disgust
31D0ZWOD0B2QQ5N2T828ANRQ8090AO,disgust
31GECDVA9KPKHEXE5K1D3JZVPK5665,angry
31GN6YMHLQVNYRAH3FHK2IU0VBUWSH,angry
31HLTCK4BMY7TX1LI5I7R2SJ0RYVGM,fear
31HLTCK4BMY7TX1LI5I7R2SJ0RZGV8,surprise
31J7RYECZMT7TDZOMIVYX6QB74E1LA,neutral
31JUPBOORO7P4DJ9L34DCGDJLAK8L1,disgust
31KPKEKW4BGV9FSUZM245YBWQIU0BJ,happy
31KPKEKW4BGV9FSUZM245YBWQIUB0U,angry
31KSVEGZ35VBXCA4OQHFC8P499BWRT,angry
31MCUE39BLPNHOZ2YVC187009763GY,disgust
31ODACBENVIIEUEVR6IEATCE7ADQS7,fear
31ODACBENVIIEUEVR6IEATCE7ADSQ9,neutral
31S7M7DAGHT82XBXO1F83C96ZN4TLA,sad
31SIZS5W5AI6DFEICHI9KJ7IL8UQRJ,neutral
32204AGAACF2BW61DG13C11ASCOGHI,angry
322ZSN9Z5HNC4P4CI9GRHV7VD19T4H,neutral
324N5FAHSYECVJX48W3MPUKC78FVKP,sad
329E6HTMSX5SJAVLOMXG6ZSTGON3K1,angry
32CAVSKPCFSAC3MIVWNZOTMUKV6U1W,angry
32CAVSKPCFSAC3MIVWNZOTMUKV71U4,neutral
32CXT5U14H6SN363UHWE3392Y1D8UV,happy
32K26U12DOR4HDRUGFHZLHPMNZIVDC,neutral
32K26U12DOR4HDRUGFHZLHPMNZJDVV,angry
32LAQ1JNTASBLNYRXF79UZ5PCEXTU4,disgust
32PT7WK7DNIK54PBW5BT2MX3WFQ3DO,angry
32TMVRKDGO1T65COFB5WQZB8ZOP484,surprise
32TMVRKDGO1T65COFB5WQZB8ZOP848,sad
32TZXEA1OMNBV5S3GQWHBPO0LIJ14H,angry
32TZXEA1OMNBV5S3GQWHBPO0LIJ41K,fear
32W3UF2EZPOVI821WNL1SL7RPFA4CA,happy
32XN26MTX0M7MOE6QZRYJ1712C80L6,fear
32ZCLEW0B0N4FFUQ4ZUBINVH6VFJPU,happy
334ZEL5JX7IFTI1FCTQALOHES9VSO1,neutral
335VBRURDK3BCCSR99NNZHIAWJ19E4,happy
335VBRURDK3BCCSR99NNZHIAWJ1E99,neutral
336OE47KI3N3QJRLXAMPD5E7UFOVWL,happy
337F8MIIM0GBOG7LK7SHXK5QGQD04D,neutral
337F8MIIM0GBOG7LK7SHXK5QGQD40H,sad
33BFF6QPI2EJEAP2D0GJUAMO3VVW3P,happy
33BFF6QPI2EJEAP2D0GJUAMO3VW3WX,fear
33EEIIWHK8AY6MVZL1NJLGWL6E7QVC,disgust
33EEIIWHK8AY6MVZL1NJLGWL6E7VQH,happy
33IXYHIZB6L0CS7SO088PUAWQDR2E5,fear
33IXYHIZB6L0CS7SO088PUAWQDRE2H,sad
33J5JKFMK71EUDTG1RHD2L42FUF3QT,surprise
33K3E8REWXYK470YZM71NA86SJU8XN,happy
33KGGVH24VK2T7GD01YM80LYEDO1XW,happy
33KMQD9OFKHMPEPO74BXFBZNF69774,sad
33N1S8XHHNORY2GS1JM75L19MDLZ1Q,disgust
33N1S8XHHNORY2GS1JM75L19MDM1ZT,disgust
33NKDW9FFYLMGAQBGYN6PW4PIAEXCH,sad
33NOQL7T9P29920D04VMKVOH0JRZ8A,neutral
33NOQL7T9P29920D04VMKVOH0JS8ZK,neutral
33Q5P9PUSQPBL5QQHGBRMHK0QACZCG,neutral
33QQ60S6ATLA5E10ZDJZAO3KF30U0T,happy
33QQ60S6ATLA5E10ZDJZAO3KF310U0,angry
33TGB4G0LQK32RSM2KIWE64T6WETXW,sad
33TGB4G0LQK32RSM2KIWE64T6WEXT0,surprise
33W1NHWFYIOS7MS1326HBRK4EWCTZT,fear
341H3G5YF1HRRDVA50I7RGIZHLFZ0N,happy
341H3G5YF1HRRDVA50I7RGIZHLG0ZP,sad
341YLJU21J2CSX9EKJYZA98OI6Y2IE,fear
3421H3BM9BKJNSEJNAYEWXV21RX9JP,sad
3421H3BM9BKJNSEJNAYEWXV21RXJ9Z,neutral
344M16OZKJIW1EWLAJ6SHIDU18IEN8,neutral
34F34TZU7X28N8TK21JZMANOVLN2JQ,neutral
34HEO7RUG7XEQZ71NLLNUJSDHQ8RAD,sad
34O39PNDK7BJ99CTTZLJPUCJZ8TRB8,fear
34OWYT6U3XKNSHUD5SDEKWG2OC89ID,neutral
34R0BODSP22SBPQF6JA6N1D8ANI5E9,happy
34R0BODSP22SBPQF6JA6N1D8ANIE5I,surprise
34R3P23QHT4Y8IW1SL5LY4NYM0DWHW,surprise
34YWR3PJ29D2MIVV4IUMUV2O9LI0XS,sad
34ZTTGSNJYRTOL0FGC6F6F5CYZWQHM,disgust
3511RHPADWHVMIY5KCAD3X8OB27LRP,disgust
351S7I5UGAZ4CUIDOKHJEYQM6GEJNY,surprise
3538U0YQ1GXH3O37NB6JQM0O8S63FZ,happy
3566S7OX5EM8ESAMIOUOE18ACK9171,neutral
3566S7OX5EM8ESAMIOUOE18ACK9717,surprise
356TQKY9XG0QPSU7H933TBVIQQF78R,surprise
356TQKY9XG0QPSU7H933TBVIQQF87S,happy
356ZPKYPUIKUA4PPQZVESAA5JZNYP2,disgust
359AP8GAGHNS1VKKYLJ8VXR1GH07CX,neutral
35A1YQPVFFJ4RUS1220X8GB02GP5II,angry
35F6NGNVM9M9NCMVK7EYK7R543ZT71,surprise
35JDMRECC5CQRMFZNFTXRY4X0WWEG0,neutral
35JDMRECC5CQRMFZNFTXRY4X0WWGE2,disgust
35O6H0UNLTJ0M5C7KKLXKHQ0FVEJ58,sad
35U0MRQMUKAVLAIJ6OVFWB1LRDPVO9,neutral
35XW21VSVHH7NXYIZ1AIT7DKX4QLSD,neutral
35ZRNT9RUJ1B91G0MEP9DG920TWO35,neutral
35ZRNT9RUJ1B91G0MEP9DG920TX3OL,sad
360ZO6N6J2M9O0K4Q7B6CPNJ5LS9MT,fear
362E9TQF2IT27RHLJYJOCD2PSP3GIB,surprise
363A7XIFV5P6J6OIW5QXVGHG2WLVAA,neutral
363A7XIFV5P6J6OIW5QXVGHG2WMAVQ,sad
366FYU4PTHSVT8BID6ECPQWQ7DDEK3,angry
36818Z1KV4GM7XMZCVKRCLPXBCT3AM,sad
368IUKXGA6BSRKFJKG0M9JQCKPV6PB,neutral
36AZSFEYZ53B2GTA2JQTQR1MKE6VB5,disgust
36BTXXLZ2WBZOARKEKBWHG6DPGCR42,happy
36BTXXLZ2WBZOARKEKBWHG6DPGD4RG,angry
36D1BWBEHO4YOGZ55YWR22F5ZFI2MU,neutral
36FFXPMSTARQ39NZ1ZEBHAACJYEOHC,fear
36FQTHX3Z4URQ7RRI9KN7W93TUE3BH,surprise
36FQTHX3Z4URQ7RRI9KN7W93TUEB3P,happy
36GJS3V78WTY221R1G4OOEHP54SGJN,neutral
36GJS3V78WTY221R1G4OOEHP54SJGQ,fear
36KM3FWE3SF873P4M5QO0WP07S307X,fear
36KM3FWE3SF873P4M5QO0WP07S3704,neutral
36MUZ9VAE75NF258LPSPLD10N4FDEO,surprise
36MUZ9VAE75NF258LPSPLD10N4GEDQ,happy
36QZ6V158AGA6NLC8F2JKU93AVJSUE,surprise
371DNNCG455DNQREUC64Y7N0FN5T8O,happy
371DNNCG455DNQREUC64Y7N0FN68T4,sad
371Q3BEXDICRSMFME21R1MOICDYSZ3,neutral
371QPA24C3RVCQ7TVRXPJX0S1H01TD,angry
371QPA24C3RVCQ7TVRXPJX0S1HZT14,sad
372AGES0I58QMCFUYVD1ER3BIBHXRN,happy
373L46LKP8934OXAR7P3M69ICL9JKT,disgust
374UMBUHN6SFZTHRBOM90TJJ5EQTCU,sad
378G7J1SJM1MO85Z2KXFD1QLUKLWEG,happy
379OL9DBSTH9IH9I9AZH6KAQEV5Y97,happy
37AQKJ12TYRWLAJ2XAHZP3JNT0QTTD,sad
37G6BXQPLROH4B9DQBY9LC8Z6J4QE6,fear
37J05LC5AYMVQIR0ZQ3GITESSCCJDG,neutral
37M4O367VKLQNDISNHYP09IHJP95MY,fear
37MQ8Z1JQFZYIXOJO1K2WX2C8PVY2F,sad
37NXA7GVSU9NFPFMTWFN4UXRW8KVLS,surprise
37SDSEDINA5CE6F5STMUS145N4F18O,sad
37SDSEDINA5CE6F5STMUS145N4F81V,sad
37SOB9Z0ST033GD39M9HLZ585OS3L4,sad
37SQU136V8RU36VKT8DFDRHX9Y9114,surprise
37VE3DA4YVK6KFYQXU9PBQADCZWBHW,neutral
37VHPF5VYD6W19P38QBE9XNWR168CL,happy
37VUR2VJ6BSEQ95I952ZUN0ODV01CU,sad
37Y5RYYI0Q82NRF7DKD641874D0SX6,neutral
37Y5RYYI0Q82NRF7DKD641874D0XSB,neutral
382GHPVPHTU7586I3UA0ZI3XJ2X34B,angry
382GHPVPHTU7586I3UA0ZI3XJ2X43C,sad
385MDVINFDIUZORRGL86AH3DZSHWJ1,fear
386659BNTMKUWHA2XP9FZMYN463010,angry
386659BNTMKUWHA2XP9FZMYN463101,surprise
386T3MLZLOYC7HUNWAIUEWLVIC908K,surprise
388CL5C1RKQIXOK2O7YJPT6IOT9LHS,disgust
388FBO7JZSWU7JDCAKIMOL5AJKMNYV,happy
388FBO7JZSWU7JDCAKIMOL5AJKMYN6,happy
389A2A304PLEJKK0DMYZGIHE83U0CQ,surprise
38B7Q9C28H87ZXZC3R4PNTQXFLD69G,angry
38B7Q9C28H87ZXZC3R4PNTQXFLD96J,happy
38DCH97KHI5PFRV54C90ISLRBR0QJR,sad
38DCH97KHI5PFRV54C90ISLRBR1JQL,surprise
38EHZ67RINVO3A7C4DHG46969YNGMR,happy
38F60IALAHKV51MBZ8TP5SHIWPTT01,disgust
38F60IALAHKV51MBZ8TP5SHIWPU0T9,fear
38G0E1M85N8QYF2G2A7OVHTA9ZDVUM,sad
38LRF35D5MZ6M60XI01ICM1RIFKU3O,disgust
38LRF35D5MZ6M60XI01ICM1RIFL3UY,happy
38O9DZ0A63QWZDEDIIPAD6IJ9F326K,sad
38O9DZ0A63QWZDEDIIPAD6IJ9F362O,surprise
38RHULDV9ZIY4D7LY3N6YGODMDSWIP,happy
38VTL6WC4BGQHU766KM0U45OSZMY5G,neutral
38VTL6WC4BGQHU766KM0U45OSZN5YO,surprise
3909MD9T20KKDMJ4CVNF9D4LZHWEF1,fear
39AYGO6AFGNSOZ3641NU5ULHKAU6NF,fear
39HYCOOPKPOLRQXL2NG8YL69W67DME,angry
39I4RL8QGKKMZGDHIFZ23C4727F4HJ,neutral
39KMGHJ4R0DUPSPK165FLHFDZEX00X,neutral
39N6W9XWREQOXRWQNG5RY1WDI80YGY,angry
39O0SQZVJOAW7X93GI93KSQNGI2R7M,disgust
39O6Z4JLX30IFJWB7FIBFOSE3HUVXE,disgust
39O6Z4JLX30IFJWB7FIBFOSE3HUXVG,sad
39RRBHZ0AV47KEWQ8X6WC98PBHSVZB,disgust
39TX062QX2RY3AUSN5C5WT0VCX23XQ,happy
39WICJI5AUVN85U7ON0QTEG6KX03ZN,fear
39WICJI5AUVN85U7ON0QTEG6KXZZ3I,neutral
39WSF6KUV3OEJZWXBY65W7DZRIMOEW,neutral
39WSF6KUV3OEJZWXBY65W7DZRINEON,disgust
39XCQ6V3KZ7OYAX001R8BDLVTPU65P,neutral
3A3KKYU7P4KK0WXCJILYQ9VU3MCWM5,fear
3A520CCNWO3PHV2W1F1NVCTU21JEAO,angry
3A9LA2FRWTHDXI1R2Q170N15V2JXHQ,disgust
3AA88CN98Q6TZDS9D7Q6WTO6PPHYK1,fear
3ABAOCJ4R97FGZ1Q79MSYKD8FLVQMV,neutral
3AC6MFV69LL22D1638PSX8HG32HZHP,angry
3ACRLU860OHU057O7T1JQND0KJ4BEG,disgust
3ACRLU860OHU057O7T1JQND0KJ4EBJ,neutral
3AFT28WXLG5QZ4YJ7HWWHMBRJBTOI5,surprise
3APP19WN72HME7MKHXAZFACKJY86G7,happy
3AQN9REUTGJLL7MZLQ4JSGTG5GKYDO,surprise
3AQN9REUTGJLL7MZLQ4JSGTG5GLDY4,sad
3ATYLI1PRU5MUFIPPZHWTNQRWQIOJH,surprise
3ATYLI1PRU5MUFIPPZHWTNQRWQJJOD,neutral
3AXFSPQOYR1SO25WQWY66THD4PSJFR,happy
3B286OTISFKXSBOOFGCESS6M79FJAE,happy
3B623HUYJ5TC8QEZ5C1EO2RED4S8SF,sad
3B6F54KMR3FUXQUE6RSZ9S46ZYM1SO,disgust
3B9XR6P1WFY2BLTGLUCAN3QSPR0BJ1,fear
3B9XR6P1WFY2BLTGLUCAN3QSPR0JB9,angry
3BA7SXOG1KT07BEMQN19YSMIR28R89,fear
3BA7SXOG1KT07BEMQN19YSMIR298RR,sad
3BAKUKE49IFIWBU1R2SUJIZADW2R1P,surprise
3BAKUKE49IFIWBU1R2SUJIZADW31R0,fear
3BC9H1KCYVFKUDMQ2L99K4I1CWQYWX,happy
3BCRDCM0OEXRGTI37OVED24DQFP6KA,angry
3BDORL6HKLG2JE4Z7ZHE0EI1HTTRCF,sad
3BFF0DJK8YFV6A6N8AC9FYN1RHCSTN,neutral
3BFF0DJK8YFV6A6N8AC9FYN1RHCTSO,neutral
3BFNCI9LYLT4OVO15S872UN7A4N37V,surprise
3BFNCI9LYLT4OVO15S872UN7A4N73Z,angry
3BJKPTD2QDFJ5V6ATLC4POI55FTTR0,happy
3BKZLF99002FAGQ4QCA3SF0FOV9QYL,neutral
3BKZLF99002FAGQ4QCA3SF0FOV9YQT,happy
3BPP3MA3TDN6DET0Y6QD4Q95WDIEL6,neutral
3BS6ERDL94AJ2NCTF79R9P9N66S6DX,angry
3BVS8WK9Q1Y6GA9A3CRAB2BSCCBBIP,disgust
3C8QQOM6JQ4ITJVMUPG4P57XO6OLIL,surprise
3CESM1J3EJ6IBTCKW2EH1DY8DMXW6V,happy
3CKVGCS3PH8UQ19WA8OZVNLWU6G0SK,neutral
3CMIQF80GOTDRWGYKTFB9OGMPLH6Q2,angry
3CMV9YRYP44EOUFSC71416MX1LDLJX,angry
3CMV9YRYP44EOUFSC71416MX1LEJLW,sad
3CO05SML7W8IPM9JVJOU5DG084WR0M,happy
3CO05SML7W8IPM9JVJOU5DG084X0RW,neutral
3CZH926SIDHAF6MFSERWI97UARN4E3,neutral
3CZH926SIDHAF6MFSERWI97UARNE4D,angry
3D0LPO3EAC2CP4DOBZIZ3A5F9URYOL,angry
3D17ECOUOFYQD99ZGCRY1KWU7IN13W,disgust
3D17ECOUOFYQD99ZGCRY1KWU7IN31Y,fear
3D1UCPY6GHC8O9TKFX0DGUJ2LOT38I,angry
3D1UCPY6GHC8O9TKFX0DGUJ2LOT83N,happy
3D42WVSDH9YIJR0VCWZ9GGW1HT0YFZ,neutral
3D4BBDG7ZIZA0CJXW9GIIGFLBFE3CO,neutral
3D5G8J4N5B7BY2NR25HEQL78QL6TVT,happy
3D5G8J4N5B7BY2NR25HEQL78QL6VTV,surprise
3D7VY91L660SCTZ1ORP23VI9TLVBM5,happy
3DA79LNS5AYRMTL8IVB87QFPZ1DT3W,angry
3DA79LNS5AYRMTL8IVB87QFPZ1E3T7,surprise
3DGDV62G7PC49JWIXEOJJ6904KT2PQ,happy
3DIIW4IV8QYMVBO1OXHN3O5M2KU4IC,sad
3DQYSJDTYME1D8APCPT1FK4S3MRXEA,angry
3DTJ4WT8BEIQI3A4D7HMC5K3BMPZE9,surprise
3DW3BNF1GILS0IV3Z76JZPBLC8LV86,surprise
3DW3BNF1GILS0IV3Z76JZPBLC8M8VK,neutral
3DWGDA5POG7APIBI0MX4KFODY2G1VT,fear
3DWNFENNE4YIQM876F2NFPKMFZJ4JO,happy
3DZKABX2ZJ8UCLLGGJMO1B742Z6VCC,sad
3E22YV8GG290Y5LBJXM3BUCYFFJNP1,disgust
3E24UO25Q0TA6K3I5GN7KJLMAKYO6B,disgust
3E24UO25Q0TA6K3I5GN7KJLMAKZ6OU,neutral
3E6L1VR4XXPG07QP6D4HXPC8IJ86F8,sad
3E9VAUV7BXHNN0JN1GDH2FLAKDNYAM,sad
3E9VAUV7BXHNN0JN1GDH2FLAKDOAYZ,neutral
3E9ZFLPWOZVDTDCB88JS0Z2KVFYXIJ,happy
3EAWOID6MU0AITQ043T46A53TAA0VP,surprise
3ECKRY5B1RZ2Y8CQ9Q7DXKIV3FWZII,angry
3EFNPKWBMTRQ6KOHKTNYNFDK2QH03S,sad
3EFNPKWBMTRQ6KOHKTNYNFDK2QH30V,sad
3EGKVCRQFXVS6AOF7UDDXQ5G2V8YBH,happy
3EHIMLB7F82NIH0JUIPFKOKC4TB8HU,neutral
3EHVO81VN6O57HGYVXG05EX4QN51H3,neutral
3EKTG13IZV64P2LDF4EWHYEE5F8LM1,surprise
3EN4YVUOUDV9OOWHQQ4SC0HK8UNXJV,neutral
3EPG8DX9LLTW8GF5FXQHHDCCOUK5PU,surprise
3EQPA8A375ZYTJWWR8SD9LXVGULZJU,surprise
3EQVJH0T41O6G1S7XG0ABKGZI6VTH3,surprise
3FBEFUUYRL8L4G9HVXIPJO1HL3V6AV,sad
3FCO4VKOZ5G7YT4YUCP3LLR41TD7EQ,angry
3FCO4VKOZ5G7YT4YUCP3LLR41TDE7X,angry
3FHTJGYT8O3UOD4PWT98LA31E3YGPN,angry
3FI30CQHVLMQNQE91BILEZLN3LGB6V,angry
3FJ2RVH2509JHWGBGPSMXG9LZGB29V,angry
3FJ2RVH2509JHWGBGPSMXG9LZGB922,disgust
3FK4G712NY3URAT8JA7J5TRFPYYSSY,happy
3FO95NVK5D3IQVTV4L7EFJMJ3WFSRA,surprise
3FTID4TN8M14JJARY727BT1LEPMYL4,sad
3FULMHZ7OV08RUES9CFFVHC3JTE4MS,neutral
3FVBZG9CLKH50SVGZEC0R9EULVZ0HZ,neutral
3FW4EL5A3MR8HCVCVGD7NT17TA1223,fear
3G3AJKPCXMV8LB36SF3QPCZAS3RY4B,happy
3G5RUKN2ED6F6I5428Q6P4CJAB29NT,sad
3G9UA71JVWXF99QQ8D0UI14W619J7N,disgust
3GITHABACZO46YK5HZBRFH4545S2NU,surprise
3GKAWYFRAQWRCTUYU380FP041BIDPA,neutral
3GL25Y6844XZPW22TNHKSS91COIXMZ,sad
3GMLHYZ0LF0729XL7LU82GX4RGFYUY,surprise
3GS542CVJWQBGTZYY8UKVNCXJQ259Z,disgust
3GS542CVJWQBGTZYY8UKVNCXJQ2953,surprise
3GV1I4SEOAS20Z0LSO7FS2HSFFU6LD,happy
3H1C3QRA02MDAAZULTXE17JI244ECQ,happy
3H5TOKO3DAM62RT0MW8Y6LFHTTZ46I,surprise
3H5TOKO3DAM62RT0MW8Y6LFHTTZ64K,surprise
3H6W48L9F5SQLZUPBYDQ7DPP8RNWP1,disgust
3H781YYV6ULUWR157FS4QHJMQQ3TEN,angry
3HA5ODM5KBVAJ2ACD5COGGBMO2SSV3,neutral
3HA5ODM5KBVAJ2ACD5COGGBMO2SVS6,neutral
3HEADTGN2QVYINAZYGCJQ66Q209VRI,angry
3HEM8MA6HAFL12Y3ZPEKFO73KQ6QPR,angry
3HFWPF5AKAMQ7T8TTV6IXLJ3XI03SI,surprise
3HJ1EVZS2PME6E8GE66D7BE7BGGR3H,surprise
3HJ1EVZS2PME6E8GE66D7BE7BGH3RU,fear
3HKIF5DF6Z09WQOIF4DBZK3M9ZG9GL,neutral
3HO4MYYR13R5JPNF12ZGJPDBS6N6U7,fear
3HRWUH63QV5W5V3SZIDPDO7HOFJ5NY,sad
3HUR21WDDVSZJDRGCQ5VMNW8LYWXYP,happy
3HUR21WDDVSZJDRGCQ5VMNW8LYWYXQ,sad
3HXCEECSQNWOO8RVD8TGJ8CJTYUYZN,sad
3HXCEECSQNWOO8RVD8TGJ8CJTYUZYO,disgust
3HY86PZXPZLTN7PW5W8UKB0RY7D1EN,disgust
3HY86PZXPZLTN7PW5W8UKB0RY7DE10,happy
3HYV4299H1ZBY79H4HH9ZLNZCDJ8EE,happy
3HYV4299H1ZBY79H4HH9ZLNZCDJE8K,sad
3I01FDIL6NBVKMTSS5XOJCSBQ1Q2DC,sad
3I4E7AFQ2L2277NXLG3VNXWEVY0JTZ,neutral
3I4E7AFQ2L2277NXLG3VNXWEVYZTJ8,angry
3I7KR83SNBGEYCK15VYQXCVFGGX9KO,fear
3ICOHX7ENDETGI4E9D4U66HHTF70EJ,disgust
3ICOHX7ENDETGI4E9D4U66HHTF7E0X,sad
3IH9TRB0FC253CRI1FYL5QYJQ0K1IW,neutral
3IHWR4LC7EGNECB30070K0LR46Q8IN,happy
3IJ95K7NDYFULSSCGEWGHLY6EOXGNR,sad
